codigo,fecha_radicacion,nombre_proyecto,valor_inicial_proyecto,valor_adicional,valor_total_proyecto,sector,municipio,entidad_presenta,estado_proyecto
50018,2005-02-25,Difusión de los conocimientos de los derechos humanos y solucion pacifica de conflictos a los 22 munciipios departamento del Atlántico.,100000000,0,100000000,Convivencia,Departamento,Interior,VIABLE
50019,2005-02-28,Ampliación de cobertura y permanencia mediante el subsidio a niños/niñas y jóvenes de Malambo,997500000,0,997500000,Educación,Malambo,Educación,DEVUELTO
50020,2005-03-03,Adecuación de las redes eléctricas de la Cra 8 entre Clles 10 y 11 de Juan de Acosta.,20118176,4280533,24398709,Electrificación,Juan de Acosta,Infraestructura,RECURSOS ASIGNADOS
50021,2005-03-03,Instalación redes eléctricas primarias y secundarias Urb. Brisas del Vaiven de Juan de Acosta.,320457077,0,320457077,Electrificación,Juan de Acosta,Infraestructura,VIABLE
50022,2005-03-03,Adecuación redes eléctricas en la calle 7 con Cra 1A de Juan de Acosta.,8261266,0,8261266,Electrificación,Juan de Acosta,Infraestructura,RECURSOS ASIGNADOS
50023,2005-03-03,Adecuación redes eléctricas en la calle 9 entre Cras 8 y 8B de Juan de Acosta.,22580766,0,22580766,Electrificación,Juan de Acosta,Infraestructura,RECURSOS ASIGNADOS
50024,2005-03-04,"Capacitación para el ejercicio del control ciudadano deberes, derechos, principios, valores morales a los jóvenes de los municipios de Baranoa y Sabanagrande.",18000000,0,18000000,Participación Ciudadana,"Baranoa, Sabanagrande",Interior,DEVUELTO
50025,2005-03-05,"Contratación, Dotación e insumos, , programa de radio y TV promulgación de los derechos humanos, construcción, remodelación y adecuación de la sede de la Defensoría del Pueblo.",245400000,0,245400000,Seguridad,Barranquilla,Interior,RECURSOS ASIGNADOS
50026,2005-03-10,"Diseño e implementación de 8 planes escolares en gestión del riesgo en los municipios de Puerto Colombia, Galapa, Malambo, Sabanagrande, Sto Tomas, Tubará, Polonuevo y Campo de la Cruz.",20000000,0,20000000,Mitigación de Riesgos Naturales,"Puerto Colombia, Galapa, Malambo, Sabanagrande, Sto Tomas, Tubará, Polonuevo y Campo de la Cruz",Interior,VIABLE
50027,2005-03-10,"Fortalecimiento integral de la UAICA del CARI mediante acciones de Dotación, adecuación y capacitación en el departamento del Atlántico.",99534272,0,99534272,Salud,Departamento,Salud,RECURSOS ASIGNADOS
50028,2005-03-10,Construcción de las redes colectorres del alcantarillado en el barrio altos de Betania de Sabanagrande.,44218226,0,44218226,Alcantarillado,Sabanagrande,Agua Potable,VIABLE
50030,2005-03-11,"Construcción de las redes de acueducto de los barrios la piñuela, los alpes, villa tormento y el cementerio de piojo.",47106408,0,47106408,Agua,Piojó,Agua Potable,RECURSOS ASIGNADOS
50031,2005-03-14,Construcción del sistema de desinfección para Acueducto del municipio de  Piojo Dpto Atlántico.,22000000,0,22000000,Agua,Piojó,Agua Potable,RECURSOS ASIGNADOS
50032,2005-03-17,Adecuación redes electricas Sector El Pradito. Corregimiento de Isabel Lopez de Sabanalarga.,33283946,0,33283946,Electrificación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50033,2005-03-17,Construcción redes electricas Urb. El Carmen I Etapa. Juan de Acosta.,107140570,0,107140570,Electrificación,Juan de Acosta,Juan de Acosta,VIABLE
50034,2005-03-28,Obras adecuación parque urb. El Oasis de Soledad.,4583401,0,4583401,Deporte y Recreación,Soledad,Infraestructura,RECURSOS ASIGNADOS
50035,2005-03-29,Adecuación y canalización arroyo Limon de Luruaco.,22783899,0,22783899,Mitigación de Riesgos Naturales,Luruaco,Interior,RECURSOS ASIGNADOS
50036,2005-03-29,"Limpieza, canalización, rectificación y adecuación arroyo Negro de Luruaco.",22779796,0,22779796,Mitigación de Riesgos Naturales,Luruaco,Interior,RECURSOS ASIGNADOS
50037,2005-03-30,"Mantenimiento vial de Palmar Oscuro, corregimiento de la peña, Sabanalarga.",22880000,0,22880000,Vías,Sabanalarga,Infraestructura,ESTUDIO
50038,2005-04-01,Construcción de un pequeño abasto en localidad de Luriza de Usiacuri.,22165000,0,22165000,Agua,Usiacurí,Agua Potable,RECURSOS ASIGNADOS
50039,2005-04-01,"Repotenciación de equipos de bombeo, motobomba pozo N° 6 mamayales de Piojó.",22510150,0,22510150,Agua,Piojó,Agua Potable,RECURSOS ASIGNADOS
50040,2005-04-01,Rehabilitación y optimización estación elevadora barrio Evaristo Sourdis de Sabanalarga.,142490202,0,142490202,Alcantarillado,Sabanalarga,Agua Potable,RECURSOS ASIGNADOS
50041,2005-04-04,"Suministro de laminas a familias damnificadas en los municipios de Malambo, Palmar de Varela, Polonuevo, Campo de la Cruz y Manati.",22695000,0,22695000,Mitigación de Riesgos Naturales,"Malambo, Palmar de Varela, Polonuevo, Campo de la Cruz y Manati",Interior,RECURSOS ASIGNADOS
50042,2005-04-05,Adecuación cancha de futbol de la I.E. de Sabanalarga.,22822020,0,22822020,Educación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50043,2005-04-05,Adecuación de la aula de clases de la I.E. sede 2 Fco de Paula Santander de Galapa.,21428706,0,21428706,Educación,Galapa,Galapa,RECURSOS ASIGNADOS
50044,2005-04-11,Mejoramiento de las redes eléctricas del Barrio 1 de diciembre de Sabanalarga.,6614519,0,6614519,Electrificación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50045,2005-04-14,Terminación del camellon turistico del municipio de Suan margen izquierda del rio Magdalena.,767532000,0,767532000,Infraestructura,Suan,Suan,VIABLE
50046,2005-04-14,Adecuación parque infantil de Suan.,22303301,0,22303301,Deporte y Recreación,Suan,Suan,RECURSOS ASIGNADOS
50047,2005-04-14,Adecuación de las redes eléctricas secundarias en el barrio Villa Carmen comprendido de la calle 11 entre cras 10 y 11 y Cra 11 entre calles 11 y 12 de Sabanalarga.,21490758,0,21490758,Electrificación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50048,2005-04-14,"Electrificación del Barrio El Progreso, sub ubicado en el casco urbano de Candelaria.",22874100,0,22874100,Electrificación,Candelaria,Infraestructura,RECURSOS ASIGNADOS
50049,2005-04-14,"Electrificación del Barrio Juana Diaz, subnormal ubicado en el casco urbano de Candelaria.",22754000,0,22754000,Electrificación,Candelaria,Infraestructura,RECURSOS ASIGNADOS
50050,2005-04-14,"Plan de contigencia para la ejecución del programa de reorganización, rediseño y modenrización de la red de prestación de servicios de salud del Departamento.",400000000,0,400000000,Salud,Departamento,Salud,ESTUDIO
50051,2005-04-14,"Adecuación de las redes eléctricas secundarias en el barrio Villa Carmen primera etapa comprendido de la cra 12 entre calles 10, 11 y 12 de Sabanalarga.",21490758,0,21490758,Electrificación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50052,2005-04-18,Adquisición de equipos de inteligencia y seguridad para los organismos de seguridad del Departamento del Atlántico.,740000000,0,740000000,Seguridad,Departamento,Interior,RECURSOS ASIGNADOS
50053,2005-04-19,Construcción de redes eléctricas primaria y secundaria en la vereda la Azucena en el municipio de Juan de Acosta.,314977547,0,314977547,Electrificación,Juan de Acosta,Juan de Acosta,RECURSOS ASIGNADOS
50054,2005-04-19,Construcción del sistema de iluminación de la cancha de futbol del municipio de Juan de Acosta,100533000,0,100533000,Deporte y Recreación,Juan de Acosta,Juan de Acosta,DEVUELTO
50055,2005-04-19,Mejoramiento y rehabilitación del carreteable la Azucena que une la autopista al mar con Media Luna en el municipio de Juan de Acosta,1284160000,0,1284160000,Vías,Juan de Acosta,Juan de Acosta,ESTUDIO
50056,2005-04-19,Mejoramiento del carreteable Sarmiento que une San José de Saco con Aguas Vivas en afirmado San José de Saco en el municipio de Juan de Acosta.,1384716000,0,1384716000,Vías,Juan de Acosta,Juan de Acosta,ESTUDIO
50057,2005-04-19,Electrifcación barrio Felipe Rivera de Luruaco.,236994593,0,236994593,Electrificación,Luruaco,Infraestructura,VIABLE
50058,2005-04-20,Adecuación de los bloques A y B del establecimiento carcelario y penitenciario de Barranquilla.,22772579,0,22772579,Seguridad,Barranquilla,Interior,RECURSOS ASIGNADOS
50059,2005-04-20,Adecuación y mejoramiento del área para armerrillo en las instalaciones del DAS de Barranquilla.,22820330,0,22820330,Seguridad,Barranquilla,Interior,RECURSOS ASIGNADOS
50060,2005-04-21,Reconstrucción de la casa de la cultura de Juan de Acosta,197152000,0,197152000,Cultura,Juan de Acosta,Juan de Acosta,DEVUELTO
50061,2005-04-21,Suministro e instalación de alumbrado público en la vía de acceso del Corregimiento de Santa verónica en el Municipio de Juan de Acosta. Atlántico,64136000,0,64136000,Electrificación,Juan de Acosta,Juan de Acosta,DEVUELTO
50062,2005-04-21,Suministro e instalación de alumbrado público en la vía Vaiven en el Municipio de Juan de Acosta. Atlántico,64130000,0,64130000,Electrificación,Juan de Acosta,Juan de Acosta,DEVUELTO
50063,2005-04-22,Adecuaciones de la infraestructura física de la Institución Educativa de Sabanalarga.,22804000,0,22804000,Educación,Sabanalarga,Infraestructura,VIABLE
50064,,Construcción estación de policia sector Centro de Barranquilla,319000000,0,319000000,Seguridad,Barranquilla,Interior,ESTUDIO
50065,2005-04-28,Rehabilitación equipo de bombeo de Puerto Giraldo de Ponedera.,21875484,0,21875484,Agua,Ponedera,Agua Potable,RECURSOS ASIGNADOS
50066,2005-04-28,Adecuación infraestructura física I.E. No. 10 La esperanza de Sabanalarga.,22822020,0,22822020,Educación,Sabanalarga,Infraestructura,RECURSOS ASIGNADOS
50067,2005-04-29,Mejoramiento de las redes eléctricas Barrio Villa Rey de Soledad.,76404717,0,76404717,Electrificación,Soledad,Infraestructura,RECURSOS ASIGNADOS
50068,2005-04-29,Adecuación redes eléctricas Barrio la Ceiba II etapa de Baranoa.,21247282,0,21247282,Electrificación,Baranoa,Infraestructura,RECURSOS ASIGNADOS
50069,2005-04-29,Suministro e instalación de equipo de aire acondicionado central en las oficinas de la Fiscalía Gral de la Nación seccional Atlántico.,22599000,0,22599000,Seguridad,Barranquilla,Interior,RECURSOS ASIGNADOS
50070,2005-05-03,Construcción sala de profesores I.E.T. agropiscicola de Repelón Atlántico.,22499498,0,22499498,Educación,Repelón,Infraestructura,RECURSOS ASIGNADOS
50071,2005-05-03,Remodelación parque Divino Niño Urb. Corcorde de Malambo.,29459544,0,29459544,Deporte y Recreación,Malambo,Malambo,ESTUDIO
50072,2005-05-06,Adquisición e instalación de equipos de seguridad para el edificio de la Gobernación del Atlántico,900000000,0,900000000,Seguridad,Barranquilla,Interior,DEVUELTO
50073,2005-05-10,Adecuacion cancha de futbol I.E. Julio Pantoja de Baranoa.,21779030,0,21779030,Deporte y Recreación,Baranoa,Infraestructura,RECURSOS ASIGNADOS
50074,2005-05-11,Instalación de redes eléctricas de baja tensión en el sector cementerio de Galapa.,21365413,0,21365413,Electrificación,Galapa,Galapa,RECURSOS ASIGNADOS
50075,2005-05-11,Construcción de redes eléctricas Barrio San Mateo del Corregimiento de Isabel López de Sabanalarga.,187917477,0,187917477,Electrificación,Sabanalarga,Infraestructura,DEVUELTO
50076,2005-05-11,Implementación del Proyecto Atlántico Seguro en el Departamento del Atlántico.,1840000000,0,1840000000,Seguridad,Departamento,Interior,RECURSOS ASIGNADOS
50077,2005-05-12,Adecuación redes electricas secundarias de la calle 11 entre carreras 7 y 10 de Puerto Colombia.,22870606,0,22870606,Electrificación,Puerto Colombia,Infraestructura,RECURSOS ASIGNADOS
50078,2005-05-13,Adecuación redes electricas secundarias en la carrera 8 entre calles 10 y 10B de Puerto Colombia.,20562112,0,20562112,Electrificación,Puerto Colombia,Infraestructura,RECURSOS ASIGNADOS
50079,2005-05-13,Adecuación redes electricas secundarias en la carrera 11A entre calles 10 y 11 de Puerto Colombia.,22853129,0,22853129,Electrificación,Puerto Colombia,Infraestructura,RECURSOS ASIGNADOS
50080,2005-05-13,Adecuación redes electricas secundarias en la calle 10 entre carreras 6 y 8 de Puerto Colombia.,22858055,0,22858055,Electrificación,Puerto Colombia,Infraestructura,RECURSOS ASIGNADOS
50081,2005-05-13,"Canalización, adecuación y rectificación del arroyo el Salao (cra 21) en el trayecto comprendido entre las calles 67B a la 72A Barrio Las Moras de Soledad.",22800276,0,22800276,Mitigación de Riesgos Naturales,Soledad,Interior,RECURSOS ASIGNADOS
50082,2005-05-17,Adecuación de las cubiertas del edificio de bombas y pozo de succión etapa Cordialidad del sistema de acueducto de Sabanalarga.,20464695,0,20464695,Agua,Sabanalarga,Agua Potable,ESTUDIO
50083,2005-05-20,Aportes para el mantenimiento y sostenimiento del Centro Cultural Antiguo Edificio de la Aduana en el centro Histórico de Barranquilla. Convenio Luis Eduardo Nieto Arteta 2006.,500000000,0,500000000,Cultura,Barranquilla,Cultura,RECURSOS ASIGNADOS
50084,2005-05-20,"Aportes para el fomento de la lectura y el rescate de la plaza pública en los municipios de Galapa, Sabanalarga, Usiacurí, Puerto Colombia y Soledad.",109764000,0,109764000,Cultura,"Galapa, Sabanalarga, Usiacurí, Puerto Colombia y Soledad",Cultura,VIABLE
50085,2005-05-24,Aportes para la Promoción y desarrollo del sector turístico y microempresarial en el Dpto del Atlántico.,990000000,0,990000000,Turismo,Departamento,Desarrollo,RECURSOS ASIGNADOS
50086,2005-05-26,"Mejoramiento vivienda Barrios La Florida, 20 de Julio, 1 de Mayo y La Cienaga de Santo Tomás",280665000,0,280665000,Vivienda,Santo Tomás,Santo Tomás,ESTUDIO
50087,2005-05-26,Construcción de redes eléctricas en el Barrio 19 de marzo del sector calle 16 a la 14 con ra 7 de Luruaco.,22754767,0,22754767,Electrificación,Luruaco,Luruaco,RECURSOS ASIGNADOS
50088,2005-05-27,Adecuación en la I.E. No. 3 Marco Fidel Suarez de Sabanalarga.,30500000,0,30500000,Educación,Sabanalarga,Sabanalarga,RECURSOS ASIGNADOS
50089,2005-05-27,Ampliacion de redes electricas primarias y secundarias en la urbanización Inmaculada en el municipio de Galapa.,252620519,0,252620519,Electrificación,Galapa,Galapa,VIABLE
50090,2005-06-02,Mejoramiento de 30 viviendas de interés social en el Corregimiento de Rotinet de Repelón.,122133000,0,122133000,Vivienda,Repelón,Repelón,RECURSOS ASIGNADOS
50091,2005-06-03,Compraventa e instalación de cámaras de seguridad y vigilancia para el Centro Carcelario La Modelo de Barranquilla.,49621000,0,49621000,Seguridad,Barranquilla,Interior,RECURSOS ASIGNADOS
50092,2005-06-03,Construcción de redes eléctricas Urbanización La Felicidad de Manatí,317866000,0,317866000,Electrificación,Manatí,Manatí,RECURSOS ASIGNADOS
50093,2005-06-07,Mejoramiento de 30 viviendas de interés social casco urbano de Sabanalarga.,124219660,0,124219660,Vivienda,Sabanalarga,Sabanalarga,RECURSOS ASIGNADOS
50094,2005-06-07,Mejoramiento de 122 viviendas de interés social en la Urb. Brisas de Puerto Colombia.,396948000,0,396948000,Vivienda,Puerto Colombia,Puerto Colombia,RECURSOS ASIGNADOS
50095,2005-06-07,Construcion del parque de la policia del Municipio de Puerto Colombia.,80389000,0,80389000,Deporte y Recreación,Puerto Colombia,Puerto Colombia,DEVUELTO
50096,2005-06-17,Adecuacion redes eléctricas Calle 2 con Cra 3 y 4 de Puerto Colombia.,19220496,0,19220496,Electrificación,Puerto Colombia,Puerto Colombia,VIABLE
50097,2005-06-17,Construcción del sistema de desinfección para Acued. Mpio de  Tubará. Dpto Atlántico.,22000000,0,22000000,Agua,Tubará,Agua Potable,VIABLE
50098,2005-06-17,Mejoramiento de vivienda en diferentes barrios del municipio de Galapa.,106380000,0,106380000,Vivienda,Galapa,Galapa,RECURSOS ASIGNADOS
50099,2005-06-22,Adecuación redes secundarias eléctricas en el sector La Rosita calle 2 entre cras 1 y 1D de Puerto Colombia.,21491748,0,21491748,Electrificación,Puerto Colombia,Puerto Colombia,RECURSOS ASIGNADOS
50100,2005-06-22,Adecuación redes secundarias eléctricas en el sector El Villa Sabita cra 23 calle 13A de Galapa.,21446179,0,21446179,Electrificación,Galapa,Galapa,RECURSOS ASIGNADOS
50101,2005-06-22,Adecuación redes secundarias eléctricas en el sector El Villa Sabita cra 23 calle 14 de Galapa.,20859744,0,20859744,Electrificación,Galapa,Galapa,VIABLE
50102,2005-06-22,Construcción de redes eléctricas en la Urbanización San Gabriel de Suan.,95000000,63964397,158964397,Electrificación,Suan,Suan,RECURSOS ASIGNADOS
50103,2005-06-23,"Adquisición de 6,850 micromedidores chorro único de 1/2"" clase B para el municipio de Sabanalarga.""",499803000,0,499803000,Agua,Sabanalarga,Agua Potable,RECURSOS ASIGNADOS
50104,2005-06-23,Perforación y puesta en funcionamiento de 2 pozos profundos para el municipio de Sabanalarga.,566774718,0,566774718,Agua,Sabanalarga,Agua Potable,RECURSOS ASIGNADOS
50105,2005-06-27,Fortalecimiento Institucional de la Secretaría de Planeación,100000000,0,100000000,Fortalecimiento Institucional,Barranquilla,Planeación,RECURSOS ASIGNADOS
50106,2005-06-29,Adecuación de la cancha de futbol Barrio Camilo Torres de Polonuevo,119401000,0,119401000,Deporte y Recreación,Polonuevo,Polonuevo,DEVUELTO
50107,2005-06-30,Impulso al desarrollo territorial del Departamento.,50000000,0,50000000,Ordenamiento Territorial,Departamento,Planeación,VIABLE
50108,2005-06-30,"Electrificación en los sectores rurales y subnormales en los municipios, corregimientos y veredas en el Departamento del Atlántico",1900000000,0,1900000000,Electrificación,Departamento,Infraestructura,VIABLE
50109,2005-06-30,Capacitar y apoyar a los líderes del Dpto del Atlántico en la veeduría y control social,100000000,0,100000000,Participación Ciudadana,Departamento,Interior,DEVUELTO
50110,2005-06-30,Dotación de equipos de bomberos para las estaciones construidas en el Departamento del Atlántico.,2350000000,0,2350000000,Seguridad,Departamento,Interior,RECURSOS ASIGNADOS
50111,2005-06-30,Capacitación del Talento Humano de la Gobernación del Atlántico.,300000000,0,300000000,Fortalecimiento Institucional,Departamento,General,RECURSOS ASIGNADOS
50112,2005-06-30,Mejoramiento integral productivo en la pequeña y mediana empresa del Dpto del Atlántico,630000000,0,630000000,Productividad y Competitividad,Departamento,Desarrollo,RECURSOS ASIGNADOS
50127,2005-06-30,Obras de Adecuación de tierras del canal de alivio del municipio de Campo de la Cruz.,4216765000,60000000,4276765000,Agropecuario,Campo de la Cruz,Campo de la Cruz,RECURSOS ASIGNADOS
50147,2005-07-18,Apoyo a las actividades carnestoléndicas del Dpto,350000000,0,350000000,Cultura,Departamento,Cultura,RECURSOS ASIGNADOS
50149,2005-07-18,Apoyo a las actividades de la Secretaría de Cultura y Patrimonio,300000000,0,300000000,Cultura,Departamento,Cultura,RECURSOS ASIGNADOS
50156,2005-07-18,Prestación de servicios médicos especializados en el Hospital Universitario ESE CARI,1200000000,0,1200000000,Salud,Barranquilla,PHU,RECURSOS ASIGNADOS
50177,2005-07-25,Construcción línea de conducción de agua potable para el barrio La Central de Soledad.,209758000,30590000,240348000,Agua,Soledad,Soledad,RECURSOS ASIGNADOS
50178,2005-07-26,Implementación proyecto jóvenes Gestores de Conviviencia Social en el Departamento del Atlántico,40000000,100000000,140000000,Familia,Departamento,Gerencia Capital Social,RECURSOS ASIGNADOS
50179,2005-07-26,Capacitación de Escuela de liderazgo juvenil en el departamento,100000000,0,100000000,Familia,Departamento,Gerencia Capital Social,RECURSOS ASIGNADOS
50185,2005-07-26,Implementación de un componente para promover la calidad de vida en el adulto mayor en el departamento del atlantico,395904,186928,582832,Familia,Departamento,Gerencia Capital Social,RECURSOS ASIGNADOS
50213,2005-08-05,Subsidios para la conexión del servicio de gas natural en los municipios y corregimientos del Dpto del Atlántico.,177333678,43169738,220503416,Gas Natural,Departamento,Planeación,RECURSOS ASIGNADOS
50219,2005-08-10,Adecuación puestos de oficina en contenedores de 20 pies en la fuerza aerea del Atlántico.,39936683,4480177,44416860,Seguridad,Departamento,Departamento,RECURSOS ASIGNADOS
50223,2005-08-12,Adecuación del estadio Municipal de Futbol de Sabanalarga.,121507190,0,121507190,Deporte y Recreación,Sabanalarga,Sabanalarga,VIABLE
50237,2005-08-23,Remodelación de los baños de la carcel modelo de Barranquilla.,40561311,12231093,52792404,Seguridad,Barranquilla,Barranquilla,RECURSOS ASIGNADOS
50250,2005-09-02,Rehabilitación del sistema de acueducto de los Corregimientos de Paluato de Galapa y Guaimaral de Tubará.,139806000,45730894,185536894,Agua,Tubará,Agua Potable,RECURSOS ASIGNADOS
50258,2005-08-12,Rehabilitación de los equipos electromecanicos de los acueductos de los corregimientos y veredas del Dpto del Atlántico.,189478686,62521314,252000000,Agua,Departamento,Agua Potable,RECURSOS ASIGNADOS
50265,2005-08-15,Construcción de la línea eléctrica para la infraestructura eléctrica de la margen de la cienaga de Balboa en el sector desde la cabecera municipal hasta la cercanía del arroyo Boca de Caña de Puerto Colombia,22774689,10409974,33184663,Electrificación,Puerto Colombia,Infraestructura,RECURSOS ASIGNADOS
50284,2005-10-05,Construcción de box-coulvert y obras de protección sobre la calle 27E con carrera 11 en el municipio de Sabanalarga,22742384,0,22742384,Mitigación de Riesgos Naturales,Sabanalarga,Sabanalarga,RECURSOS ASIGNADOS
50298,2005-10-18,"Acueducto noroccidental municipio de Tubara, Juan de Acosta, Piojó y Usiacurí.",19773764000,3580407089,23354171089,Agua,"Tubara, Juan de Acosta, Piojó y Usiacurí.",Agua Potable,RECURSOS ASIGNADOS
50305,2005-10-24,Construción de redes eléctricas de las parcelas de la Sierra de Albornoz para satisfacer a los 35 parceleros vía Manatí KM5 municipio de Sabanalarga.,255895546,136613008,392508554,Electrificación,Sabanalarga,Sabanalarga,RECURSOS ASIGNADOS
50307,2005-10-25,Instalación redes de alcantarillado sanitario sector cuenca 2 entre calles 10 y 13 y carrera 17 y 19 de Galapa.,204933456,87640312,292573768,Alcantarillado,Galapa,Galapa,RECURSOS ASIGNADOS
50319,2005-10-28,"Mejoramiento de 50 viviendas de interés social en los Barrios La Candelaria, Villa Esperanza y Villa Carmen del municipio de Sabanalarga.",223590950,3146244,226737194,Vivienda,Sabanalarga,Sabanalarga,VIABLE
50320,2005-10-31,Adecuación cubierta auditorio sede principal de la Institución Educativa Francisco de Paula Santander de Galapa.,95768964,10768036,106537000,Educación,Galapa,Galapa,RECURSOS ASIGNADOS
50321,2005-11-01,Modernización y desarrollo del sector turístico del Dpto del Atlántico.,852997475,0,852997475,Turismo,Departamento,Desarrollo,RECURSOS ASIGNADOS
50337,2005-11-15,Proyecto estación elevadora de alcantarillado Barrios Altos de Betania en el municipio de Sabanagrande.,206212558,60560531,266773089,Alcantarillado,Sabanagrande,Agua Potable,RECURSOS ASIGNADOS
50338,2005-11-15,Redes de alcantarillado sanitario Altos de Betania II etapa de Sabanagrande.,712296109,0,712296109,Alcantarillado,Sabanagrande,Agua Potable,RECURSOS ASIGNADOS
50350,2005-12-06,Apoyo económico para el desarrollo de un programa de vivienda denominado Villa Porvenir en la calle 23 con el camino que conduce a la vía hacia Manatí en el municipio de Sabanalarga,7306593000,139395000,7445988000,Vivienda,Sabanalarga,Secretaría de Infraestructura,RECURSOS ASIGNADOS
50357,2005-12-13,Construcción de un puente peatonal entre los barrios Las Mercedes y Siete de Agosto del municipio de Sabanalarga.,35559920,0,35559920,Transito y Transporte,Sabanalarga,Sabanalarga,RECURSOS ASIGNADOS
50378,2005-12-26,Fortalecimiento Institucional de la Secretaría de Agua Potable.,60000000,40000000,100000000,Fortalecimiento Institucional,Barranquilla,Agua Potable,RECURSOS ASIGNADOS
50379,2005-12-26,Sistematización y automatización del impuesto al consumo,250000000,0,250000000,Fortalecimiento Institucional,Barranquilla,Hacienda,RECURSOS ASIGNADOS
50380,2005-12-27,Actualización de tecnología informática y telecomunicaciones,1000000000,0,1000000000,Fortalecimiento Institucional,Barranquilla,Informática,RECURSOS ASIGNADOS
50384,2005-12-30,Modernización empresarial para la vinculación de Operadores Especializados.,30000000,20000000,50000000,Fortalecimiento Institucional,Departamento,Agua Potable,RECURSOS ASIGNADOS
50385,2005-12-30,"Apoyo financiero para el pago de gastos operativos, administrativos, pasivos laborales y pasivos energéticos de los municipios y empresas municipales que se acojan al programa de Modernización Empresarial",500000000,120000000,620000000,Fortalecimiento Institucional,Departamento,Departamento,RECURSOS ASIGNADOS
50394,2005-12-30,Suministro de Gasolina para uso del parque automotor para los organismos de seguridad,1700000000,100000000,1800000000,Seguridad,Departamento,Junta,RECURSOS ASIGNADOS
50396,2005-12-30,Convivencia ciudadana,900000000,100000000,1000000000,Seguridad,Departamento,Interior,RECURSOS ASIGNADOS
50399,2005-12-30,"Adquisición, mantenimiento y reparación de equipos de comunicaciones",900000000,300000000,1200000000,Seguridad,Departamento,Junta,RECURSOS ASIGNADOS
50407,2005-12-30,Estudios de Preinversión para los proyectos de la Secretaría de Infraestructura departamental,330000000,30000000,360000000,Estudios,Departamento,Infraestructura,RECURSOS ASIGNADOS
